ruleset,cwe_id,name,category,patterns,anti_patterns,verification_status,verification_notes
primary,CWE-862,Missing Authorization,authorization,9,13,kept,Adjusted for Spring annotation/window semantics and method/request authorization mitigations.
primary,CWE-284,Improper Access Control,authorization,7,14,kept,Adjusted for Spring annotation/window semantics and method/request authorization mitigations.
primary,CWE-285,Improper Authorization,authorization,5,8,kept,Removed broad @PreAuthorize hasRole ADMIN vulnerable pattern; role-only checks should be flagged only with owner-sensitive context.
primary,CWE-863,Incorrect Authorization,authorization,8,8,kept,Regex compiled; rule retained as heuristic.
primary,CWE-639,Authorization Bypass Through User-Controlled Key (IDOR),authorization,8,9,kept,Adjusted for Spring annotation/window semantics and method/request authorization mitigations.
primary,CWE-283,Unverified Ownership,ownership,4,6,kept,Regex compiled; rule retained as heuristic.
primary,CWE-668,Exposure of Resource to Wrong Sphere,exposure,5,5,kept,Regex compiled; rule retained as heuristic.
primary,CWE-425,Direct Request (Forced Browsing),forced_browsing,4,11,kept,Adjusted for Spring annotation/window semantics and method/request authorization mitigations.
primary,CWE-352,Cross-Site Request Forgery (CSRF),csrf,8,8,kept,Kept csrf().disable() as strongest CSRF signal; wildcard CORS patterns are documented as access-policy smells requiring manual review.
primary,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,information_exposure,7,6,kept,Regex compiled; rule retained as heuristic.
primary,CWE-359,Exposure of Private Personal Information (PII) to an Unauthorized Actor,information_exposure,5,6,kept,Regex compiled; rule retained as heuristic.
primary,CWE-201,Exposure of Sensitive Information Through Sent Data,information_exposure,5,6,kept,Regex compiled; rule retained as heuristic.
primary,CWE-601,URL Redirection to Untrusted Site (Open Redirect),redirect,6,5,kept,Regex compiled; rule retained as heuristic.
primary,CWE-922,Insecure Storage of Sensitive Information,secret_storage,8,8,kept,Removed passwordEncoder.matches from vulnerable patterns because it is secure verification behavior.
primary,CWE-540,Inclusion of Sensitive Information in Source Code,secret_storage,8,10,kept,Regex compiled; rule retained as heuristic.
primary,CWE-615,Inclusion of Sensitive Information in Source Code Comments,secret_storage,9,0,kept,Regex compiled; rule retained as heuristic.
primary,CWE-1275,Sensitive Cookie with Improper SameSite Attribute,cookie,7,8,kept,Regex compiled; rule retained as heuristic.
primary,CWE-281,Improper Preservation of Permissions,permissions,6,4,kept,Regex compiled; rule retained as heuristic.
primary,CWE-282,Improper Ownership Management,permissions,4,5,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-22,Path Traversal,secondary_feature,6,8,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-23,Relative Path Traversal,secondary_feature,4,7,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-36,Absolute Path Traversal,secondary_feature,5,6,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-59,Link Following,secondary_feature,4,3,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-61,UNIX Symbolic Link (Symlink) Following,secondary_feature,3,0,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-65,Windows Hard Link,secondary_feature,3,0,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-219,Storage of File with Sensitive Data Under Web Root,secondary_feature,5,4,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-276,Incorrect Default Permissions,secondary_feature,6,3,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-377,Insecure Temporary File,secondary_feature,5,4,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-379,Creation of Temporary File in Directory with Insecure Permissions,secondary_feature,4,3,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-402,Transmission of Private Resources into a New Sphere (Resource Leak),secondary_feature,6,5,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-424,Improper Protection of Alternate Path,forced_browsing,5,4,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-441,Unintended Proxy or Intermediary (Confused Deputy),ssrf,5,4,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-497,Exposure of Sensitive System Information,secondary_feature,6,3,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-538,Insertion of Sensitive Information into Externally-Accessible File or Directory,secondary_feature,5,3,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-548,Exposure of Information Through Directory Listing,secondary_feature,4,2,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-552,Files or Directories Accessible to External Parties,exposure,5,5,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-566,Authorization Bypass Through User-Controlled SQL Primary Key,authorization,4,4,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-732,Incorrect Permission Assignment for Critical Resource,secondary_feature,5,3,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-749,Exposed Dangerous Method or Function,secondary_feature,7,3,kept,Regex compiled; rule retained as heuristic.
secondary,CWE-918,Server-Side Request Forgery (SSRF),ssrf,6,10,kept,Regex compiled; rule retained as heuristic.
